tool,tool_type,catalog_desc,tool_material,diameter,corner_radius,length,flute_length,point_angle,point_length,taper_angle,num_flutes
UGT0301_494,Drilling Tool,Carbide Drill 9.9 mm,"PVD (TI,AL)N",9.9,0.0,100.586,87.0,118.0,2.97426,,2.0
UGT0301_495,Drilling Tool,Carbide Drill 10.0 mm,"PVD (TI,AL)N",10.0,0.0,150.965,90.5,118.0,3.0043,,2.0
UGT0301_496,Drilling Tool,Carbide Drill 10.1 mm,"PVD (TI,AL)N",10.1,0.0,100.965,87.0,118.0,3.03435,,2.0
UGT0301_497,Drilling Tool,Carbide Drill 10.2 mm,"PVD (TI,AL)N",10.2,0.0,100.935,87.0,118.0,3.06439,,2.0
UGT0301_498,Drilling Tool,Carbide Drill 10.3 mm,"PVD (TI,AL)N",10.3,0.0,100.905,87.0,118.0,3.09443,,2.0
UGT0301_499,Drilling Tool,Carbide Drill 10.4 mm,"PVD (TI,AL)N",10.4,0.0,100.875,87.0,118.0,3.12447,,2.0
UGT0301_500,Drilling Tool,Carbide Drill 10.5 mm,"PVD (TI,AL)N",10.5,0.0,110.05,87.0,118.0,3.15452,,2.0
UGT0301_501,Drilling Tool,Carbide Drill 10.6 mm,"PVD (TI,AL)N",10.6,0.0,110.05,87.0,118.0,3.18456,,2.0
UGT0301_502,Drilling Tool,Carbide Drill 10.7 mm,"PVD (TI,AL)N",10.7,0.0,110.785,94.0,118.0,3.2146,,2.0
UGT0301_503,Drilling Tool,Carbide Drill 10.8 mm,"PVD (TI,AL)N",10.8,0.0,110.823,94.0,118.0,3.24465,,2.0
UGT0301_504,Drilling Tool,Carbide Drill 10.9 mm,"PVD (TI,AL)N",10.9,0.0,120.794,94.0,118.0,3.27469,,2.0
UGT0301_505,Drilling Tool,Carbide Drill 11.0 mm,"PVD (TI,AL)N",11.0,0.0,120.2,94.0,118.0,3.30473,,2.0
UGT0301_506,Drilling Tool,Carbide Drill 11.1 mm,"PVD (TI,AL)N",11.1,0.0,120.2,94.0,118.0,3.33478,,2.0
UGT0301_507,Drilling Tool,Carbide Drill 11.2 mm,"PVD (TI,AL)N",11.2,0.0,120.635,94.0,118.0,3.36482,,2.0
UGT0301_508,Drilling Tool,Carbide Drill 11.3 mm,"PVD (TI,AL)N",11.3,0.0,120.482,94.0,118.0,3.39486,,2.0
UGT0301_509,Drilling Tool,Carbide Drill 11.4 mm,"PVD (TI,AL)N",11.4,0.0,120.112,94.0,118.0,3.42491,,2.0
UGT0301_510,Drilling Tool,Carbide Drill 11.5 mm,"PVD (TI,AL)N",11.5,0.0,120.112,94.0,118.0,3.45495,,2.0
UGT0301_511,Drilling Tool,Carbide Drill 11.6 mm,"PVD (TI,AL)N",11.6,0.0,120.515,94.0,118.0,3.48499,,2.0
UGT0301_512,Drilling Tool,Carbide Drill 11.7 mm,"PVD (TI,AL)N",11.7,0.0,120.484,94.0,118.0,3.51504,,2.0
UGT0301_513,Drilling Tool,Carbide Drill 11.8 mm,"PVD (TI,AL)N",11.8,0.0,120.428,94.0,118.0,3.54508,,2.0
UGT0301_514,Drilling Tool,Carbide Drill 11.9 mm,"PVD (TI,AL)N",11.9,0.0,130.191,101.0,118.0,3.57512,,2.0
UGT0301_515,Drilling Tool,Carbide Drill 12.0 mm,"PVD (TI,AL)N",12.0,0.0,130.79,101.0,118.0,3.60516,,2.0
UGT0301_516,Drilling Tool,Carbide Drill 12.1 mm,"PVD (TI,AL)N",12.1,0.0,130.79,101.0,118.0,3.63521,,2.0
UGT0301_518,Drilling Tool,Carbide Drill 12.3 mm,"PVD (TI,AL)N",12.3,0.0,130.304,101.0,118.0,3.69529,,2.0
UGT0301_519,Drilling Tool,Carbide Drill 12.4 mm,"PVD (TI,AL)N",12.4,0.0,130.707,101.0,118.0,3.72534,,2.0
UGT0301_522,Drilling Tool,Carbide Drill 12.7 mm,"PVD (TI,AL)N",12.7,0.0,130.137,101.0,118.0,3.81547,,2.0
UGT0302_001,Drilling Tool,Indexable Insert Drill 15mm,"PVD (TI,AL)N",15.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0302_002,Drilling Tool,Indexable Insert Drill 23mm,"PVD (TI,AL)N",23.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0302_003,Drilling Tool,Indexable Insert Drill 24mm,"PVD (TI,AL)N",24.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0302_004,Drilling Tool,Indexable Insert Drill 25mm,"PVD (TI,AL)N",25.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0302_005,Drilling Tool,Indexable Insert Drill 26mm,"PVD (TI,AL)N",26.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0302_006,Drilling Tool,Indexable Insert Drill 27mm,"PVD (TI,AL)N",27.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0302_007,Drilling Tool,Indexable Insert Drill 28mm,"PVD (TI,AL)N",28.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0302_008,Drilling Tool,Indexable Insert Drill 29mm,"PVD (TI,AL)N",29.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0302_009,Drilling Tool,Indexable Insert Drill 30mm,"PVD (TI,AL)N",30.0,0.0,100.0,50.0,180.0,0.0,,2.0
UGT0306_003,Drilling Tool,Spade Drill 12.5mm,"PVD (TI,AL)N",12.5,0.0,150.0,10.0,132.0,2.78268,,2.0
UGT0306_004,Drilling Tool,Spade Drill 13.5mm,"PVD (TI,AL)N",13.5,0.0,150.0,10.0,132.0,3.00529,,2.0
UGT0306_005,Drilling Tool,Spade Drill 14.5mm,"PVD (TI,AL)N",14.5,0.0,150.0,10.0,132.0,3.22791,,2.0
UGT0306_006,Drilling Tool,Spade Drill 15.5mm,"PVD (TI,AL)N",15.5,0.0,150.0,10.0,132.0,3.45052,,2.0
UGT0306_007,Drilling Tool,Spade Drill 16.5mm,"PVD (TI,AL)N",16.5,0.0,150.0,10.0,132.0,3.67314,,2.0
UGT0306_008,Drilling Tool,Spade Drill 17.5mm,"PVD (TI,AL)N",17.5,0.0,150.0,10.0,132.0,3.89575,,2.0
UGT0306_009,Drilling Tool,Spade Drill 18.5mm,"PVD (TI,AL)N",18.5,0.0,150.0,10.0,132.0,4.11836,,2.0
UGT0306_010,Drilling Tool,Spade Drill 19.5mm,"PVD (TI,AL)N",19.5,0.0,150.0,10.0,132.0,4.34098,,2.0
UGT0307_001,Drilling Tool,Gun Drill 5 mm,"PVD (TI,AL)N",5.0,0.0,500.0,24.0,130.0,1.16577,,1.0
UGT0307_002,Drilling Tool,Gun Drill 6 mm,"PVD (TI,AL)N",6.0,0.0,500.0,24.0,130.0,1.39892,,1.0
UGT0307_003,Drilling Tool,Gun Drill 7 mm,"PVD (TI,AL)N",7.0,0.0,500.0,24.0,130.0,1.63208,,1.0
UGT0307_004,Drilling Tool,Gun Drill 8 mm,"PVD (TI,AL)N",8.0,0.0,500.0,24.0,130.0,1.86523,,1.0
UGT0307_005,Drilling Tool,Gun Drill 8.3 mm,"PVD (TI,AL)N",8.3,0.0,500.0,24.0,130.0,1.93518,,1.0
UGT0307_006,Drilling Tool,Gun Drill 9 mm,"PVD (TI,AL)N",9.0,0.0,500.0,24.0,130.0,2.09838,,1.0
UGT0307_007,Drilling Tool,Gun Drill 10 mm,"PVD (TI,AL)N",10.0,0.0,500.0,24.0,130.0,2.33154,,1.0
UGT0307_008,Drilling Tool,Gun Drill 11 mm,"PVD (TI,AL)N",11.0,0.0,700.0,24.0,130.0,2.56469,,1.0
UGT0307_009,Drilling Tool,Gun Drill 12 mm,"PVD (TI,AL)N",12.0,0.0,700.0,24.0,130.0,2.79785,,1.0
UGT0307_010,Drilling Tool,Gun Drill 14 mm,"PVD (TI,AL)N",14.0,0.0,700.0,24.0,130.0,3.26415,,1.0
UGT0307_011,Drilling Tool,Gun Drill 14.3 mm,"PVD (TI,AL)N",14.3,0.0,700.0,24.0,130.0,3.3341,,1.0
UGT0307_012,Drilling Tool,Gun Drill 15 mm,"PVD (TI,AL)N",15.0,0.0,700.0,24.0,130.0,3.49731,,1.0
UGT0307_013,Drilling Tool,Gun Drill 16 mm,"PVD (TI,AL)N",16.0,0.0,700.0,24.0,130.0,3.73046,,1.0
UGT0307_014,Drilling Tool,Gun Drill 17.5 mm,"PVD (TI,AL)N",17.5,0.0,700.0,24.0,130.0,4.08019,,1.0
UGT0307_015,Drilling Tool,Gun Drill 20 mm,"PVD (TI,AL)N",20.0,0.0,800.0,30.0,130.0,4.66308,,1.0
UGT0307_016,Drilling Tool,Gun Drill 22 mm,"PVD (TI,AL)N",22.0,0.0,800.0,30.0,130.0,5.12938,,1.0
UGT0332_045,Boring Tool,Precision Boring 17.98 mm,"PVD (TI,AL)N",17.98,0.4,122.0,,,,,
UGT0332_050,Boring Tool,Precision Boring 27.98 mm,"PVD (TI,AL)N",27.98,0.4,122.0,,,,,
UGT0332_055,Boring Tool,Precision Boring 41.98 mm,"PVD (TI,AL)N",41.98,0.4,222.0,,,,,
UGT0332_064,Boring Tool,14 mm Boring Bar Slip Fit,"PVD (TI,AL)N",14.0,0.4,152.0,,,,,
UGT0332_065,Boring Tool,16 mm Boring Bar Slip Fit,"PVD (TI,AL)N",16.0,0.4,152.0,,,,,
UGT0332_066,Boring Tool,20 mm Boring Bar Slip Fit,"PVD (TI,AL)N",20.0,0.4,152.0,,,,,
UGT0332_067,Boring Tool,25 mm Boring Bar Slip Fit,"PVD (TI,AL)N",25.0,0.4,152.0,,,,,
UGT0332_069,Boring Tool,40 mm Boring Bar Slip Fit,"PVD (TI,AL)N",40.0,0.4,152.0,,,,,
UGT0332_070,Boring Tool,50 mm Boring Bar Slip Fit,"PVD (TI,AL)N",50.0,0.4,152.0,,,,,
UGT0332_073,Boring Tool,13.8 mm Rough Boring Bar,"PVD (TI,AL)N",13.8,0.2,152.0,,,,,
UGT0332_074,Boring Tool,15.8 mm Rough Boring Bar,"PVD (TI,AL)N",15.8,0.2,152.0,,,,,
UGT0332_075,Boring Tool,17.75 mm Rough Boring Bar,"PVD (TI,AL)N",17.75,0.4,152.0,,,,,
UGT0332_076,Boring Tool,19.75 mm Rough Boring Bar,"PVD (TI,AL)N",19.75,0.4,152.0,,,,,
